Wavelenth,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Overcoating,Before Overcoating,After Overcoating,After Overcoating,5x Purification,5x Purification
394.7363,0.167,394.7363,0.2344,394.7363,0.0759
394.9469,0.1601,394.9469,0.234,394.9469,0.0769
395.1574,0.1655,395.1574,0.231,395.1574,0.0734
395.368,0.1627,395.368,0.2313,395.368,0.0736
395.5785,0.1614,395.5785,0.2282,395.5785,0.0734
395.789,0.162,395.789,0.2353,395.789,0.0734
395.9995,0.1621,395.9995,0.2328,395.9995,0.0761
396.21,0.1656,396.21,0.2355,396.21,0.0776
396.4205,0.1626,396.4205,0.2363,396.4205,0.0729
396.631,0.1672,396.631,0.2357,396.631,0.0736
396.8414,0.166,396.8414,0.2345,396.8414,0.075
397.0519,0.1641,397.0519,0.2355,397.0519,0.0736
397.2623,0.1629,397.2623,0.2323,397.2623,0.0733
397.4727,0.1631,397.4727,0.2348,397.4727,0.0739
397.6832,0.1637,397.6832,0.2356,397.6832,0.0753
397.8936,0.1612,397.8936,0.2323,397.8936,0.0763
398.104,0.1616,398.104,0.2359,398.104,0.0785
398.3143,0.1648,398.3143,0.2332,398.3143,0.0754
398.5247,0.1682,398.5247,0.2331,398.5247,0.0746
398.7351,0.1636,398.7351,0.2334,398.7351,0.0784
398.9454,0.1646,398.9454,0.236,398.9454,0.075
399.1558,0.1631,399.1558,0.2328,399.1558,0.0742
399.3661,0.1651,399.3661,0.2332,399.3661,0.0795
399.5764,0.1632,399.5764,0.2347,399.5764,0.0762
399.7868,0.1649,399.7868,0.2344,399.7868,0.0767
399.9971,0.1632,399.9971,0.24,399.9971,0.0754
400.2074,0.1629,400.2074,0.2378,400.2074,0.0781
400.4176,0.1657,400.4176,0.2389,400.4176,0.0767
400.6279,0.165,400.6279,0.2378,400.6279,0.0778
400.8382,0.1645,400.8382,0.2381,400.8382,0.0763
401.0484,0.1678,401.0484,0.2364,401.0484,0.0742
401.2587,0.1643,401.2587,0.237,401.2587,0.0767
401.4689,0.1679,401.4689,0.2365,401.4689,0.0772
401.6791,0.1643,401.6791,0.2358,401.6791,0.0776
401.8893,0.165,401.8893,0.2366,401.8893,0.0805
402.0995,0.1672,402.0995,0.2392,402.0995,0.0798
402.3097,0.1658,402.3097,0.236,402.3097,0.0781
402.5199,0.1684,402.5199,0.2388,402.5199,0.0758
402.73,0.168,402.73,0.2359,402.73,0.0748
402.9402,0.1653,402.9402,0.2393,402.9402,0.0792
403.1503,0.1657,403.1503,0.2375,403.1503,0.0776
403.3605,0.1691,403.3605,0.2389,403.3605,0.0771
403.5706,0.1653,403.5706,0.2381,403.5706,0.0813
403.7807,0.1668,403.7807,0.2368,403.7807,0.0811
403.9908,0.1677,403.9908,0.2346,403.9908,0.0788
404.2009,0.1669,404.2009,0.2394,404.2009,0.0772
404.411,0.1693,404.411,0.2385,404.411,0.0774
404.6211,0.1664,404.6211,0.2357,404.6211,0.0809
404.8311,0.166,404.8311,0.2376,404.8311,0.0789
405.0412,0.1679,405.0412,0.2362,405.0412,0.0779
405.2512,0.1681,405.2512,0.2372,405.2512,0.0799
405.4612,0.1667,405.4612,0.2387,405.4612,0.0773
405.6712,0.1658,405.6712,0.2361,405.6712,0.0775
405.8813,0.1681,405.8813,0.2381,405.8813,0.0787
406.0912,0.1686,406.0912,0.2413,406.0912,0.0772
406.3012,0.1677,406.3012,0.2367,406.3012,0.0793
406.5112,0.1673,406.5112,0.2375,406.5112,0.0782
406.7212,0.1639,406.7212,0.2369,406.7212,0.0784
406.9311,0.168,406.9311,0.2361,406.9311,0.0815
407.1411,0.1658,407.1411,0.2383,407.1411,0.08
407.351,0.1681,407.351,0.237,407.351,0.0779
407.5609,0.1671,407.5609,0.2365,407.5609,0.0792
407.7708,0.1672,407.7708,0.2354,407.7708,0.0801
407.9807,0.1663,407.9807,0.2392,407.9807,0.0775
408.1906,0.1657,408.1906,0.2368,408.1906,0.0793
408.4005,0.1629,408.4005,0.2363,408.4005,0.0777
408.6104,0.1669,408.6104,0.2376,408.6104,0.0789
408.8202,0.1662,408.8202,0.2358,408.8202,0.0797
409.0301,0.1679,409.0301,0.2362,409.0301,0.0782
409.2399,0.1648,409.2399,0.2349,409.2399,0.0781
409.4497,0.1661,409.4497,0.2362,409.4497,0.0793
409.6596,0.1659,409.6596,0.2367,409.6596,0.0781
409.8694,0.1664,409.8694,0.236,409.8694,0.0791
410.0791,0.1649,410.0791,0.2356,410.0791,0.0796
410.2889,0.1663,410.2889,0.2347,410.2889,0.0771
410.4987,0.1638,410.4987,0.2342,410.4987,0.0793
410.7085,0.1653,410.7085,0.2361,410.7085,0.0781
410.9182,0.1662,410.9182,0.2346,410.9182,0.0765
411.128,0.1649,411.128,0.2345,411.128,0.0782
411.3377,0.1653,411.3377,0.2354,411.3377,0.0781
411.5474,0.168,411.5474,0.2346,411.5474,0.0776
411.7571,0.1645,411.7571,0.2358,411.7571,0.0764
411.9668,0.1646,411.9668,0.2345,411.9668,0.0769
412.1765,0.1649,412.1765,0.2335,412.1765,0.0769
412.3862,0.1646,412.3862,0.2334,412.3862,0.0788
412.5958,0.1629,412.5958,0.2343,412.5958,0.0773
412.8055,0.1653,412.8055,0.2311,412.8055,0.0786
413.0151,0.1626,413.0151,0.2329,413.0151,0.0759
413.2248,0.1634,413.2248,0.2327,413.2248,0.077
413.4344,0.1638,413.4344,0.233,413.4344,0.0772
413.644,0.1645,413.644,0.2329,413.644,0.0771
413.8536,0.1639,413.8536,0.2329,413.8536,0.0768
414.0632,0.1652,414.0632,0.2325,414.0632,0.0778
414.2728,0.1638,414.2728,0.2321,414.2728,0.0767
414.4823,0.1639,414.4823,0.2317,414.4823,0.0764
414.6919,0.1643,414.6919,0.2337,414.6919,0.0767
414.9015,0.1615,414.9015,0.2317,414.9015,0.0765
415.111,0.1618,415.111,0.232,415.111,0.0777
415.3205,0.1634,415.3205,0.2307,415.3205,0.077
415.53,0.1638,415.53,0.2309,415.53,0.0755
415.7395,0.1627,415.7395,0.2308,415.7395,0.0775
415.949,0.163,415.949,0.2314,415.949,0.0758
416.1585,0.1616,416.1585,0.2307,416.1585,0.0754
416.368,0.1626,416.368,0.231,416.368,0.0759
416.5775,0.1612,416.5775,0.2316,416.5775,0.0755
416.7869,0.1612,416.7869,0.2291,416.7869,0.0762
416.9963,0.1619,416.9963,0.2314,416.9963,0.0752
417.2058,0.1612,417.2058,0.2274,417.2058,0.076
417.4152,0.1619,417.4152,0.2294,417.4152,0.0749
417.6246,0.1621,417.6246,0.2299,417.6246,0.0744
417.834,0.1609,417.834,0.2294,417.834,0.0758
418.0434,0.1611,418.0434,0.2302,418.0434,0.0756
418.2528,0.1609,418.2528,0.2275,418.2528,0.0764
418.4621,0.1616,418.4621,0.2282,418.4621,0.0762
418.6715,0.1626,418.6715,0.2284,418.6715,0.0752
418.8808,0.1608,418.8808,0.2288,418.8808,0.075
419.0902,0.1593,419.0902,0.2286,419.0902,0.0758
419.2995,0.1616,419.2995,0.2282,419.2995,0.0757
419.5088,0.1613,419.5088,0.2287,419.5088,0.075
419.7181,0.1595,419.7181,0.2284,419.7181,0.0746
419.9274,0.1589,419.9274,0.2275,419.9274,0.074
420.1367,0.1606,420.1367,0.2278,420.1367,0.0757
420.3459,0.1599,420.3459,0.2289,420.3459,0.075
420.5552,0.1603,420.5552,0.2279,420.5552,0.074
420.7644,0.16,420.7644,0.2261,420.7644,0.0741
420.9737,0.1608,420.9737,0.2277,420.9737,0.0746
421.1829,0.159,421.1829,0.2274,421.1829,0.0726
421.3921,0.1584,421.3921,0.2273,421.3921,0.0733
421.6013,0.1603,421.6013,0.2258,421.6013,0.0749
421.8105,0.1593,421.8105,0.2257,421.8105,0.0735
422.0197,0.1611,422.0197,0.2243,422.0197,0.0742
422.2289,0.1594,422.2289,0.2271,422.2289,0.0738
422.438,0.159,422.438,0.2266,422.438,0.0724
422.6472,0.1598,422.6472,0.2245,422.6472,0.073
422.8563,0.1587,422.8563,0.2259,422.8563,0.0723
423.0654,0.1583,423.0654,0.2268,423.0654,0.0739
423.2745,0.1582,423.2745,0.225,423.2745,0.073
423.4837,0.1591,423.4837,0.2255,423.4837,0.0731
423.6927,0.1583,423.6927,0.2244,423.6927,0.0736
423.9018,0.1571,423.9018,0.2249,423.9018,0.0725
424.1109,0.157,424.1109,0.2249,424.1109,0.0718
424.32,0.1572,424.32,0.2242,424.32,0.0731
424.529,0.1575,424.529,0.2242,424.529,0.0722
424.7381,0.1571,424.7381,0.2248,424.7381,0.0722
424.9471,0.1581,424.9471,0.2228,424.9471,0.0714
425.1561,0.1565,425.1561,0.2234,425.1561,0.0723
425.3651,0.1579,425.3651,0.2232,425.3651,0.0725
425.5741,0.1573,425.5741,0.2229,425.5741,0.0726
425.7831,0.1556,425.7831,0.2238,425.7831,0.0719
425.9921,0.1562,425.9921,0.223,425.9921,0.0726
426.201,0.1563,426.201,0.2224,426.201,0.0718
426.41,0.1561,426.41,0.2208,426.41,0.0718
426.6189,0.1554,426.6189,0.2219,426.6189,0.0717
426.8279,0.157,426.8279,0.2221,426.8279,0.0718
427.0368,0.1561,427.0368,0.2227,427.0368,0.072
427.2457,0.1549,427.2457,0.2205,427.2457,0.0713
427.4546,0.157,427.4546,0.2211,427.4546,0.0712
427.6635,0.1543,427.6635,0.222,427.6635,0.0714
427.8724,0.1556,427.8724,0.2198,427.8724,0.0711
428.0812,0.1565,428.0812,0.222,428.0812,0.0711
428.2901,0.1549,428.2901,0.2203,428.2901,0.0712
428.4989,0.1538,428.4989,0.2199,428.4989,0.0708
428.7078,0.1559,428.7078,0.2191,428.7078,0.07
428.9166,0.1546,428.9166,0.2205,428.9166,0.0702
429.1254,0.1556,429.1254,0.2193,429.1254,0.0706
429.3342,0.1549,429.3342,0.2209,429.3342,0.0703
429.543,0.1543,429.543,0.2196,429.543,0.0691
429.7518,0.1552,429.7518,0.2202,429.7518,0.0702
429.9606,0.1544,429.9606,0.2198,429.9606,0.0698
430.1693,0.1557,430.1693,0.2181,430.1693,0.0695
430.3781,0.1547,430.3781,0.2192,430.3781,0.07
430.5868,0.1539,430.5868,0.2188,430.5868,0.0692
430.7955,0.1547,430.7955,0.2171,430.7955,0.0688
431.0042,0.1535,431.0042,0.2184,431.0042,0.0693
431.2129,0.1535,431.2129,0.2167,431.2129,0.069
431.4216,0.153,431.4216,0.2186,431.4216,0.0691
431.6303,0.1525,431.6303,0.2175,431.6303,0.0697
431.839,0.1523,431.839,0.2181,431.839,0.0683
432.0476,0.1533,432.0476,0.2177,432.0476,0.0698
432.2563,0.1526,432.2563,0.2165,432.2563,0.0688
432.4649,0.1525,432.4649,0.2161,432.4649,0.0689
432.6736,0.1533,432.6736,0.2186,432.6736,0.0686
432.8822,0.1526,432.8822,0.2189,432.8822,0.0699
433.0908,0.1528,433.0908,0.2164,433.0908,0.0673
433.2994,0.1527,433.2994,0.2157,433.2994,0.0677
433.508,0.1521,433.508,0.2161,433.508,0.0694
433.7165,0.1518,433.7165,0.216,433.7165,0.0686
433.9251,0.1523,433.9251,0.2165,433.9251,0.0681
434.1336,0.1513,434.1336,0.2161,434.1336,0.0682
434.3422,0.1526,434.3422,0.2144,434.3422,0.0674
434.5507,0.1516,434.5507,0.2154,434.5507,0.0683
434.7592,0.152,434.7592,0.215,434.7592,0.0677
434.9677,0.151,434.9677,0.2144,434.9677,0.068
435.1762,0.1506,435.1762,0.2146,435.1762,0.0677
435.3847,0.152,435.3847,0.2163,435.3847,0.0675
435.5932,0.1507,435.5932,0.2152,435.5932,0.0665
435.8017,0.1511,435.8017,0.2144,435.8017,0.0683
436.0101,0.151,436.0101,0.2152,436.0101,0.0688
436.2185,0.1514,436.2185,0.2147,436.2185,0.0676
436.427,0.1502,436.427,0.2146,436.427,0.0678
436.6354,0.1509,436.6354,0.2136,436.6354,0.0659
436.8438,0.1499,436.8438,0.2142,436.8438,0.0678
437.0522,0.1503,437.0522,0.2141,437.0522,0.0665
437.2606,0.1501,437.2606,0.2129,437.2606,0.0664
437.469,0.1509,437.469,0.2131,437.469,0.0671
437.6773,0.1502,437.6773,0.2138,437.6773,0.0667
437.8857,0.1504,437.8857,0.213,437.8857,0.0662
438.094,0.1498,438.094,0.2133,438.094,0.0655
438.3024,0.1501,438.3024,0.2136,438.3024,0.0673
438.5107,0.1491,438.5107,0.2135,438.5107,0.0688
438.719,0.1493,438.719,0.2122,438.719,0.0659
438.9273,0.1502,438.9273,0.2137,438.9273,0.0665
439.1356,0.1489,439.1356,0.2114,439.1356,0.0662
439.3438,0.1501,439.3438,0.2134,439.3438,0.066
439.5521,0.1493,439.5521,0.212,439.5521,0.0676
439.7604,0.1508,439.7604,0.2117,439.7604,0.0673
439.9686,0.1483,439.9686,0.2127,439.9686,0.0669
440.1768,0.1489,440.1768,0.2123,440.1768,0.0646
440.3851,0.1484,440.3851,0.2125,440.3851,0.066
440.5933,0.1483,440.5933,0.2129,440.5933,0.0653
440.8015,0.1482,440.8015,0.2113,440.8015,0.0661
441.0097,0.1482,441.0097,0.2131,441.0097,0.0665
441.2178,0.1486,441.2178,0.2121,441.2178,0.0661
441.426,0.1488,441.426,0.2119,441.426,0.067
441.6341,0.1485,441.6341,0.2118,441.6341,0.0666
441.8423,0.1492,441.8423,0.2122,441.8423,0.064
442.0504,0.1482,442.0504,0.2114,442.0504,0.0668
442.2585,0.1487,442.2585,0.2111,442.2585,0.0657
442.4667,0.1477,442.4667,0.2109,442.4667,0.0644
442.6748,0.149,442.6748,0.2114,442.6748,0.0672
442.8828,0.1478,442.8828,0.2107,442.8828,0.0675
443.0909,0.148,443.0909,0.2109,443.0909,0.0666
443.299,0.1483,443.299,0.2095,443.299,0.0649
