Wavelength,Absorbance,Wavelength,Absorabnce,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Pur,4x Pur
405.6712,0.418,405.6712,0.374,405.6712,0.2219
405.8813,0.4205,405.8813,0.3771,405.8813,0.2207
406.0912,0.4183,406.0912,0.3783,406.0912,0.2216
406.3012,0.4172,406.3012,0.378,406.3012,0.2205
406.5112,0.4188,406.5112,0.3768,406.5112,0.2175
406.7212,0.419,406.7212,0.3772,406.7212,0.2225
406.9311,0.4176,406.9311,0.3773,406.9311,0.2216
407.1411,0.4196,407.1411,0.3734,407.1411,0.2227
407.351,0.4223,407.351,0.3783,407.351,0.2235
407.5609,0.4161,407.5609,0.377,407.5609,0.2233
407.7708,0.4166,407.7708,0.3739,407.7708,0.2228
407.9807,0.4219,407.9807,0.3763,407.9807,0.2206
408.1906,0.4191,408.1906,0.3761,408.1906,0.2236
408.4005,0.4202,408.4005,0.3764,408.4005,0.2207
408.6104,0.42,408.6104,0.3772,408.6104,0.2216
408.8202,0.4172,408.8202,0.3746,408.8202,0.2199
409.0301,0.4185,409.0301,0.3718,409.0301,0.2209
409.2399,0.4172,409.2399,0.3725,409.2399,0.2204
409.4497,0.4189,409.4497,0.3727,409.4497,0.2204
409.6596,0.4181,409.6596,0.3724,409.6596,0.2201
409.8694,0.4166,409.8694,0.3745,409.8694,0.2195
410.0791,0.4157,410.0791,0.3724,410.0791,0.2215
410.2889,0.4159,410.2889,0.3722,410.2889,0.2191
410.4987,0.4158,410.4987,0.3722,410.4987,0.2193
410.7085,0.4166,410.7085,0.3695,410.7085,0.2201
410.9182,0.4163,410.9182,0.3725,410.9182,0.2191
411.128,0.4173,411.128,0.3714,411.128,0.2182
411.3377,0.4176,411.3377,0.3739,411.3377,0.2194
411.5474,0.4165,411.5474,0.3691,411.5474,0.2192
411.7571,0.4157,411.7571,0.3708,411.7571,0.2192
411.9668,0.4141,411.9668,0.3722,411.9668,0.2192
412.1765,0.4172,412.1765,0.3714,412.1765,0.219
412.3862,0.4155,412.3862,0.3692,412.3862,0.2193
412.5958,0.4146,412.5958,0.3707,412.5958,0.2183
412.8055,0.4136,412.8055,0.3698,412.8055,0.2171
413.0151,0.4136,413.0151,0.3687,413.0151,0.2179
413.2248,0.4151,413.2248,0.3693,413.2248,0.2181
413.4344,0.4144,413.4344,0.3697,413.4344,0.2194
413.644,0.4157,413.644,0.3683,413.644,0.2174
413.8536,0.4128,413.8536,0.3694,413.8536,0.2188
414.0632,0.4133,414.0632,0.367,414.0632,0.2173
414.2728,0.4121,414.2728,0.3674,414.2728,0.2182
414.4823,0.4128,414.4823,0.3671,414.4823,0.2185
414.6919,0.4119,414.6919,0.3676,414.6919,0.217
414.9015,0.4099,414.9015,0.366,414.9015,0.217
415.111,0.4136,415.111,0.3676,415.111,0.2185
415.3205,0.4114,415.3205,0.3666,415.3205,0.2161
415.53,0.4114,415.53,0.367,415.53,0.2172
415.7395,0.4104,415.7395,0.3678,415.7395,0.2187
415.949,0.4124,415.949,0.367,415.949,0.218
416.1585,0.4126,416.1585,0.3666,416.1585,0.2179
416.368,0.4115,416.368,0.3667,416.368,0.2168
416.5775,0.4106,416.5775,0.3658,416.5775,0.2156
416.7869,0.4093,416.7869,0.3659,416.7869,0.2186
416.9963,0.4105,416.9963,0.3648,416.9963,0.2159
417.2058,0.411,417.2058,0.3661,417.2058,0.2155
417.4152,0.4102,417.4152,0.365,417.4152,0.2145
417.6246,0.4099,417.6246,0.3651,417.6246,0.2161
417.834,0.4099,417.834,0.3645,417.834,0.2152
418.0434,0.4102,418.0434,0.3643,418.0434,0.2151
418.2528,0.4097,418.2528,0.3671,418.2528,0.215
418.4621,0.4105,418.4621,0.3639,418.4621,0.216
418.6715,0.4088,418.6715,0.3632,418.6715,0.2148
418.8808,0.4088,418.8808,0.363,418.8808,0.216
419.0902,0.4079,419.0902,0.3623,419.0902,0.2137
419.2995,0.409,419.2995,0.3605,419.2995,0.2146
419.5088,0.4074,419.5088,0.3634,419.5088,0.2148
419.7181,0.408,419.7181,0.3623,419.7181,0.215
419.9274,0.4064,419.9274,0.3617,419.9274,0.2149
420.1367,0.4081,420.1367,0.3616,420.1367,0.2143
420.3459,0.4089,420.3459,0.3617,420.3459,0.2134
420.5552,0.4076,420.5552,0.3608,420.5552,0.2138
420.7644,0.4068,420.7644,0.3603,420.7644,0.2129
420.9737,0.4069,420.9737,0.3619,420.9737,0.2129
421.1829,0.4059,421.1829,0.3621,421.1829,0.2135
421.3921,0.405,421.3921,0.3601,421.3921,0.212
421.6013,0.4068,421.6013,0.3603,421.6013,0.2139
421.8105,0.4046,421.8105,0.3581,421.8105,0.2129
422.0197,0.4049,422.0197,0.36,422.0197,0.2133
422.2289,0.4039,422.2289,0.358,422.2289,0.2121
422.438,0.4039,422.438,0.359,422.438,0.2127
422.6472,0.404,422.6472,0.3584,422.6472,0.2125
422.8563,0.4046,422.8563,0.3568,422.8563,0.2127
423.0654,0.4041,423.0654,0.356,423.0654,0.2117
423.2745,0.404,423.2745,0.3587,423.2745,0.2124
423.4837,0.404,423.4837,0.357,423.4837,0.2108
423.6927,0.4018,423.6927,0.3581,423.6927,0.2117
423.9018,0.4011,423.9018,0.357,423.9018,0.2098
424.1109,0.4024,424.1109,0.3569,424.1109,0.212
424.32,0.4039,424.32,0.3572,424.32,0.2107
424.529,0.4013,424.529,0.3567,424.529,0.2113
424.7381,0.4025,424.7381,0.3574,424.7381,0.2111
424.9471,0.4028,424.9471,0.3575,424.9471,0.2108
425.1561,0.4024,425.1561,0.3554,425.1561,0.2103
425.3651,0.4013,425.3651,0.3544,425.3651,0.2091
425.5741,0.4001,425.5741,0.3533,425.5741,0.2088
425.7831,0.4008,425.7831,0.355,425.7831,0.2095
425.9921,0.3999,425.9921,0.3557,425.9921,0.2096
426.201,0.4008,426.201,0.3537,426.201,0.2103
426.41,0.3994,426.41,0.3544,426.41,0.2087
426.6189,0.3998,426.6189,0.3534,426.6189,0.2088
426.8279,0.3989,426.8279,0.3541,426.8279,0.209
427.0368,0.3997,427.0368,0.3535,427.0368,0.2084
427.2457,0.3977,427.2457,0.3537,427.2457,0.2098
427.4546,0.3982,427.4546,0.3544,427.4546,0.2092
427.6635,0.3998,427.6635,0.3531,427.6635,0.208
427.8724,0.3972,427.8724,0.3526,427.8724,0.2082
428.0812,0.3966,428.0812,0.3534,428.0812,0.2082
428.2901,0.3971,428.2901,0.3525,428.2901,0.2069
428.4989,0.3963,428.4989,0.3507,428.4989,0.2078
428.7078,0.3952,428.7078,0.3521,428.7078,0.2074
428.9166,0.3959,428.9166,0.3518,428.9166,0.2078
429.1254,0.3967,429.1254,0.3508,429.1254,0.2062
429.3342,0.3955,429.3342,0.3509,429.3342,0.2064
429.543,0.3953,429.543,0.3489,429.543,0.2068
429.7518,0.3955,429.7518,0.3499,429.7518,0.2065
429.9606,0.3954,429.9606,0.3495,429.9606,0.2067
430.1693,0.3956,430.1693,0.3477,430.1693,0.2059
430.3781,0.3955,430.3781,0.3509,430.3781,0.2063
430.5868,0.3957,430.5868,0.3498,430.5868,0.2059
430.7955,0.3947,430.7955,0.3485,430.7955,0.2057
431.0042,0.394,431.0042,0.3489,431.0042,0.2057
431.2129,0.3925,431.2129,0.3491,431.2129,0.2052
431.4216,0.3946,431.4216,0.3491,431.4216,0.2057
431.6303,0.3935,431.6303,0.3485,431.6303,0.2052
431.839,0.3928,431.839,0.348,431.839,0.2035
432.0476,0.3936,432.0476,0.348,432.0476,0.2048
432.2563,0.3927,432.2563,0.3487,432.2563,0.2054
432.4649,0.3917,432.4649,0.3466,432.4649,0.2052
432.6736,0.393,432.6736,0.3475,432.6736,0.2046
432.8822,0.3925,432.8822,0.3463,432.8822,0.2037
433.0908,0.3929,433.0908,0.3479,433.0908,0.2032
433.2994,0.3913,433.2994,0.3471,433.2994,0.2047
433.508,0.392,433.508,0.3475,433.508,0.2033
433.7165,0.3912,433.7165,0.3471,433.7165,0.2044
433.9251,0.3905,433.9251,0.3468,433.9251,0.2034
434.1336,0.3924,434.1336,0.347,434.1336,0.2033
434.3422,0.3901,434.3422,0.3451,434.3422,0.2038
434.5507,0.3906,434.5507,0.3457,434.5507,0.2033
434.7592,0.3912,434.7592,0.3461,434.7592,0.2035
434.9677,0.3894,434.9677,0.3447,434.9677,0.2034
435.1762,0.3903,435.1762,0.3441,435.1762,0.2013
435.3847,0.391,435.3847,0.3453,435.3847,0.205
435.5932,0.3886,435.5932,0.3439,435.5932,0.2014
435.8017,0.3897,435.8017,0.3449,435.8017,0.2022
436.0101,0.3897,436.0101,0.3443,436.0101,0.2025
436.2185,0.3893,436.2185,0.3452,436.2185,0.2018
436.427,0.3891,436.427,0.3445,436.427,0.2009
436.6354,0.3879,436.6354,0.3441,436.6354,0.202
436.8438,0.3879,436.8438,0.3441,436.8438,0.201
437.0522,0.3876,437.0522,0.3437,437.0522,0.2018
437.2606,0.3875,437.2606,0.3436,437.2606,0.2015
437.469,0.3872,437.469,0.3433,437.469,0.202
437.6773,0.3881,437.6773,0.3424,437.6773,0.2016
437.8857,0.3877,437.8857,0.3437,437.8857,0.2017
438.094,0.3873,438.094,0.3425,438.094,0.2002
438.3024,0.3873,438.3024,0.3432,438.3024,0.2013
438.5107,0.3888,438.5107,0.3441,438.5107,0.2015
438.719,0.3872,438.719,0.342,438.719,0.2002
438.9273,0.387,438.9273,0.3404,438.9273,0.2007
439.1356,0.3861,439.1356,0.3406,439.1356,0.2006
439.3438,0.3871,439.3438,0.3407,439.3438,0.2011
439.5521,0.3867,439.5521,0.3424,439.5521,0.2011
439.7604,0.3863,439.7604,0.3409,439.7604,0.2011
439.9686,0.3871,439.9686,0.3413,439.9686,0.2016
440.1768,0.3867,440.1768,0.3402,440.1768,0.1993
440.3851,0.3857,440.3851,0.3403,440.3851,0.2011
440.5933,0.385,440.5933,0.3416,440.5933,0.201
440.8015,0.3855,440.8015,0.3412,440.8015,0.1999
441.0097,0.3865,441.0097,0.3426,441.0097,0.2007
441.2178,0.3855,441.2178,0.3408,441.2178,0.1994
441.426,0.3861,441.426,0.3404,441.426,0.2002
441.6341,0.3856,441.6341,0.3399,441.6341,0.2001
441.8423,0.3863,441.8423,0.3407,441.8423,0.1999
442.0504,0.3843,442.0504,0.3406,442.0504,0.1992
442.2585,0.3852,442.2585,0.3409,442.2585,0.1989
442.4667,0.3839,442.4667,0.341,442.4667,0.1985
442.6748,0.3848,442.6748,0.3403,442.6748,0.1991
442.8828,0.3849,442.8828,0.3396,442.8828,0.1994
443.0909,0.3847,443.0909,0.34,443.0909,0.1982
443.299,0.3843,443.299,0.3401,443.299,0.1989
443.507,0.3827,443.507,0.3394,443.507,0.1985
443.7151,0.3821,443.7151,0.3392,443.7151,0.1989
