Wavelength,Absorabnce,Wavelength,Absorbance,Wavelength,Absorbance
[nm],[-],[nm],[-],[nm],[-]
Before Reaction,Before Reaction,After Reaction,After Reaction,4x Purification,4x Purification
409.4497,0.3709,409.4497,0.4006,409.4497,0.2221
409.6596,0.3679,409.6596,0.4004,409.6596,0.2225
409.8694,0.3679,409.8694,0.3988,409.8694,0.2225
410.0791,0.3668,410.0791,0.4004,410.0791,0.2217
410.2889,0.3677,410.2889,0.4003,410.2889,0.2221
410.4987,0.3662,410.4987,0.3997,410.4987,0.2209
410.7085,0.3679,410.7085,0.4004,410.7085,0.2214
410.9182,0.3678,410.9182,0.4004,410.9182,0.2229
411.128,0.3683,411.128,0.3982,411.128,0.2203
411.3377,0.3674,411.3377,0.4006,411.3377,0.2213
411.5474,0.3679,411.5474,0.399,411.5474,0.2198
411.7571,0.3663,411.7571,0.4,411.7571,0.2204
411.9668,0.3664,411.9668,0.3992,411.9668,0.2201
412.1765,0.3661,412.1765,0.3983,412.1765,0.2185
412.3862,0.3667,412.3862,0.3998,412.3862,0.2209
412.5958,0.3642,412.5958,0.3979,412.5958,0.2208
412.8055,0.3654,412.8055,0.3993,412.8055,0.2186
413.0151,0.3663,413.0151,0.399,413.0151,0.2193
413.2248,0.366,413.2248,0.3975,413.2248,0.2171
413.4344,0.3648,413.4344,0.3982,413.4344,0.2192
413.644,0.3653,413.644,0.398,413.644,0.2171
413.8536,0.3655,413.8536,0.395,413.8536,0.2179
414.0632,0.3639,414.0632,0.3979,414.0632,0.2183
414.2728,0.3639,414.2728,0.3976,414.2728,0.2185
414.4823,0.364,414.4823,0.3965,414.4823,0.2187
414.6919,0.3653,414.6919,0.3959,414.6919,0.219
414.9015,0.3621,414.9015,0.3958,414.9015,0.218
415.111,0.363,415.111,0.3934,415.111,0.2171
415.3205,0.3641,415.3205,0.3956,415.3205,0.218
415.53,0.3611,415.53,0.394,415.53,0.2159
415.7395,0.3635,415.7395,0.3948,415.7395,0.2173
415.949,0.3625,415.949,0.393,415.949,0.2184
416.1585,0.3607,416.1585,0.3935,416.1585,0.2169
416.368,0.362,416.368,0.3932,416.368,0.2159
416.5775,0.3627,416.5775,0.3937,416.5775,0.217
416.7869,0.3622,416.7869,0.3931,416.7869,0.2158
416.9963,0.3615,416.9963,0.3916,416.9963,0.2152
417.2058,0.3601,417.2058,0.3933,417.2058,0.2167
417.4152,0.3629,417.4152,0.3906,417.4152,0.2171
417.6246,0.3596,417.6246,0.3932,417.6246,0.2165
417.834,0.3611,417.834,0.3911,417.834,0.2145
418.0434,0.3603,418.0434,0.3899,418.0434,0.217
418.2528,0.3618,418.2528,0.3896,418.2528,0.2159
418.4621,0.3591,418.4621,0.3915,418.4621,0.2162
418.6715,0.3592,418.6715,0.3909,418.6715,0.2151
418.8808,0.3609,418.8808,0.3895,418.8808,0.2157
419.0902,0.3591,419.0902,0.39,419.0902,0.2156
419.2995,0.3586,419.2995,0.3901,419.2995,0.2143
419.5088,0.3583,419.5088,0.3909,419.5088,0.215
419.7181,0.3593,419.7181,0.3907,419.7181,0.2156
419.9274,0.3574,419.9274,0.3896,419.9274,0.2149
420.1367,0.3576,420.1367,0.3912,420.1367,0.2135
420.3459,0.3601,420.3459,0.3882,420.3459,0.2138
420.5552,0.3586,420.5552,0.3885,420.5552,0.2139
420.7644,0.3574,420.7644,0.3888,420.7644,0.2134
420.9737,0.3569,420.9737,0.3892,420.9737,0.214
421.1829,0.3566,421.1829,0.3869,421.1829,0.2133
421.3921,0.3564,421.3921,0.3887,421.3921,0.2142
421.6013,0.3554,421.6013,0.3878,421.6013,0.2143
421.8105,0.3552,421.8105,0.3867,421.8105,0.2127
422.0197,0.3559,422.0197,0.3872,422.0197,0.213
422.2289,0.3566,422.2289,0.3861,422.2289,0.2118
422.438,0.3559,422.438,0.3879,422.438,0.2123
422.6472,0.3544,422.6472,0.3852,422.6472,0.213
422.8563,0.3532,422.8563,0.385,422.8563,0.2114
423.0654,0.3549,423.0654,0.3859,423.0654,0.2116
423.2745,0.3538,423.2745,0.3855,423.2745,0.2122
423.4837,0.3529,423.4837,0.3856,423.4837,0.2115
423.6927,0.3557,423.6927,0.3839,423.6927,0.2108
423.9018,0.3537,423.9018,0.3841,423.9018,0.2104
424.1109,0.3537,424.1109,0.3849,424.1109,0.2103
424.32,0.3514,424.32,0.3834,424.32,0.2103
424.529,0.3534,424.529,0.3835,424.529,0.2108
424.7381,0.352,424.7381,0.3835,424.7381,0.2121
424.9471,0.3517,424.9471,0.3826,424.9471,0.2098
425.1561,0.3518,425.1561,0.382,425.1561,0.2103
425.3651,0.3529,425.3651,0.384,425.3651,0.2078
425.5741,0.3505,425.5741,0.3815,425.5741,0.21
425.7831,0.3515,425.7831,0.3832,425.7831,0.2082
425.9921,0.3497,425.9921,0.3824,425.9921,0.2089
426.201,0.3504,426.201,0.3819,426.201,0.2087
426.41,0.3502,426.41,0.3816,426.41,0.2093
426.6189,0.3496,426.6189,0.3803,426.6189,0.2077
426.8279,0.3502,426.8279,0.3811,426.8279,0.2085
427.0368,0.3494,427.0368,0.38,427.0368,0.2079
427.2457,0.35,427.2457,0.3808,427.2457,0.2082
427.4546,0.3489,427.4546,0.3805,427.4546,0.2092
427.6635,0.3496,427.6635,0.3794,427.6635,0.2083
427.8724,0.3488,427.8724,0.3794,427.8724,0.2074
428.0812,0.3487,428.0812,0.3782,428.0812,0.2067
428.2901,0.3482,428.2901,0.3785,428.2901,0.2081
428.4989,0.3479,428.4989,0.3774,428.4989,0.206
428.7078,0.3456,428.7078,0.3777,428.7078,0.2065
428.9166,0.3479,428.9166,0.3774,428.9166,0.2066
429.1254,0.3474,429.1254,0.3778,429.1254,0.2053
429.3342,0.3474,429.3342,0.3773,429.3342,0.2071
429.543,0.3451,429.543,0.3774,429.543,0.2078
429.7518,0.3455,429.7518,0.377,429.7518,0.2064
429.9606,0.3462,429.9606,0.3762,429.9606,0.2064
430.1693,0.3472,430.1693,0.3768,430.1693,0.2053
430.3781,0.3474,430.3781,0.3772,430.3781,0.2061
430.5868,0.3458,430.5868,0.377,430.5868,0.2043
430.7955,0.3448,430.7955,0.3758,430.7955,0.2051
431.0042,0.3455,431.0042,0.3752,431.0042,0.2062
431.2129,0.3455,431.2129,0.3753,431.2129,0.2063
431.4216,0.3459,431.4216,0.3761,431.4216,0.2059
431.6303,0.3438,431.6303,0.3753,431.6303,0.2046
431.839,0.3439,431.839,0.375,431.839,0.2045
432.0476,0.3456,432.0476,0.3732,432.0476,0.2044
432.2563,0.3453,432.2563,0.3752,432.2563,0.2054
432.4649,0.3451,432.4649,0.373,432.4649,0.2044
432.6736,0.3443,432.6736,0.3744,432.6736,0.2049
432.8822,0.3447,432.8822,0.3734,432.8822,0.2035
433.0908,0.3428,433.0908,0.3727,433.0908,0.2037
433.2994,0.3437,433.2994,0.3726,433.2994,0.2027
433.508,0.3422,433.508,0.3727,433.508,0.2031
433.7165,0.3445,433.7165,0.3716,433.7165,0.2032
433.9251,0.3434,433.9251,0.3713,433.9251,0.2027
434.1336,0.3439,434.1336,0.3727,434.1336,0.2034
434.3422,0.3423,434.3422,0.3724,434.3422,0.2018
434.5507,0.3424,434.5507,0.3716,434.5507,0.2026
434.7592,0.3424,434.7592,0.371,434.7592,0.2031
434.9677,0.3422,434.9677,0.3708,434.9677,0.2026
435.1762,0.3423,435.1762,0.3713,435.1762,0.2025
435.3847,0.3422,435.3847,0.37,435.3847,0.2022
435.5932,0.3395,435.5932,0.3705,435.5932,0.2017
435.8017,0.3402,435.8017,0.3701,435.8017,0.2025
436.0101,0.3412,436.0101,0.3701,436.0101,0.2019
436.2185,0.3405,436.2185,0.3703,436.2185,0.2021
436.427,0.3394,436.427,0.3689,436.427,0.2019
436.6354,0.3392,436.6354,0.368,436.6354,0.2016
436.8438,0.3396,436.8438,0.3704,436.8438,0.2009
437.0522,0.3411,437.0522,0.3691,437.0522,0.2016
437.2606,0.3388,437.2606,0.3699,437.2606,0.2003
437.469,0.3395,437.469,0.3686,437.469,0.2004
437.6773,0.3401,437.6773,0.3709,437.6773,0.2017
437.8857,0.34,437.8857,0.3685,437.8857,0.2009
438.094,0.3404,438.094,0.3692,438.094,0.2001
438.3024,0.3373,438.3024,0.3679,438.3024,0.2007
438.5107,0.3406,438.5107,0.369,438.5107,0.2008
438.719,0.3381,438.719,0.3673,438.719,0.2012
438.9273,0.3386,438.9273,0.3683,438.9273,0.1998
439.1356,0.3388,439.1356,0.368,439.1356,0.1995
439.3438,0.338,439.3438,0.3673,439.3438,0.1991
439.5521,0.3393,439.5521,0.3688,439.5521,0.2006
439.7604,0.3382,439.7604,0.368,439.7604,0.1988
439.9686,0.337,439.9686,0.3665,439.9686,0.2003
440.1768,0.338,440.1768,0.3654,440.1768,0.1991
440.3851,0.3384,440.3851,0.3665,440.3851,0.2008
440.5933,0.3363,440.5933,0.3658,440.5933,0.1993
440.8015,0.3386,440.8015,0.3681,440.8015,0.1993
441.0097,0.3384,441.0097,0.3666,441.0097,0.199
441.2178,0.3364,441.2178,0.3664,441.2178,0.2005
441.426,0.3362,441.426,0.3652,441.426,0.1987
441.6341,0.3366,441.6341,0.3651,441.6341,0.1994
441.8423,0.3354,441.8423,0.3666,441.8423,0.1992
442.0504,0.337,442.0504,0.366,442.0504,0.1991
442.2585,0.3358,442.2585,0.3651,442.2585,0.1991
442.4667,0.3351,442.4667,0.3658,442.4667,0.1982
442.6748,0.3366,442.6748,0.3658,442.6748,0.1983
442.8828,0.337,442.8828,0.364,442.8828,0.1995
443.0909,0.3364,443.0909,0.3651,443.0909,0.1982
443.299,0.3359,443.299,0.364,443.299,0.1984
443.507,0.3371,443.507,0.365,443.507,0.1987
443.7151,0.3367,443.7151,0.364,443.7151,0.1995
